video_id,video_title,video_views,video_likes,video_comment,video_duration,video_published_date
OecMmdkX4L0,என்ன வாழ்க்க டா இது 🤧 | Life Time Experience😲 Death Cafe | Vj Siddhu Vlogs,1580423,93321,1816,PT27M47S,2023-10-23T11:00:12Z
8zo-lb7LvGA,Office-க்கு எதுக்கு டா இதெல்லாம்🤦🏻‍♀️| New Office-க்கு Funny Shopping🎉💥 | Vj Siddhu Vlogs,1790174,82875,708,PT24M4S,2023-10-22T04:30:07Z
qivlE1Hy3dQ,Giraffe கூட பேச்சு வார்த்தை😂 - Jungle Safari🔥 | Part 3 | Vj Siddhu Vlogs,922590,53866,363,PT10M51S,2023-10-20T14:30:10Z
CmQgdGcqy_s,Lokesh செஞ்சிட்டாரு💥🔥🤩 | FDFS at Rohini😍 | Vj Siddhu Vlogs,614887,34949,334,PT5M41S,2023-10-19T18:20:11Z
0gP4BWpl5Lw,விளையாட்டு விபரீதம் ஆயிடுச்சு😥🤣 | Vj Siddhu Vlogs,2201282,83448,572,PT17M56S,2023-10-18T11:15:09Z
hBLoCsCmXkE,சிங்கம் Road-ல படுத்துட்டு இருக்கு😱 மரண Fun Jungle Safari World 🦁🐊 | Vj Siddhu Vlogs,1357634,62605,488,PT19M32S,2023-10-16T10:15:08Z
tXDnHMlsZ4U,English Teacher-ஆ இவங்க 😱 | English கத்துக்க போறோம்📖 | Vj Siddhu Vlogs,1501140,72794,741,PT22M26S,2023-10-15T05:00:07Z
dQf5xtW5UYk,Camera பற்றி தெரிந்த Camera man தேவை📸 | Vj Siddhu Vlogs,2594186,114977,1392,PT11M37S,2023-10-13T11:00:09Z
WPLHElwsPPU,என் Plan-லாம் நாசமா போச்சு 💔| Last Day In Pattaya😂 | Vj Siddhu Vlogs,1794643,81575,711,PT16M56S,2023-10-11T10:45:09Z
4jMwYwtMR3s,Exotic Food - ஐ தேடி பயணம்🍣🦞 | Vj Siddhu Vlogs,1579688,64384,435,PT15M,2023-10-09T11:45:13Z
3OcucZQcG_8,எல்லா Middle Class ஓட கனவு இது 😍🔥 Wow Zone Interiors Tour 🎉 | Vj Siddhu Vlogs,512418,22862,226,PT19M11S,2023-10-08T04:30:10Z
csv6Y8x6BRU,"எவ்ளோ வேணா அடிங்க, ஆனா ஒரே ஒரு Massage-u 😂🔥 | First Impression In Thailand  | Vj Siddhu Vlogs",1679813,75418,575,PT19M52S,2023-10-06T09:30:10Z
